date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:27	40180/40180	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.js	(from http://radixtouch.in/templates/admin/smart/source/hover/advance_form.html)
11:49:29	214/214	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker-init.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker-init.js	(from http://radixtouch.in/templates/admin/smart/source/hover/advance_form.html)
11:49:30	6685/6685	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input.js	(from http://radixtouch.in/templates/admin/smart/source/hover/advance_form.html)
11:49:30	967/967	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input-init.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input-init.js	(from http://radixtouch.in/templates/admin/smart/source/hover/advance_form.html)
11:49:33	871/871	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2015:58:34%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/select2/select2-init.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/js/pages/select2/select2-init.js	(from http://radixtouch.in/templates/admin/smart/source/hover/advance_form.html)
11:49:34	5395/5395	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202018%2021:56:32%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/steps/steps.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/steps/steps.css	(from http://radixtouch.in/templates/admin/smart/source/hover/wizard.html)
11:49:36	2223/2223	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Feb%202018%2021:52:42%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/steps/steps-data.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/js/pages/steps/steps-data.js	(from http://radixtouch.in/templates/admin/smart/source/hover/wizard.html)
11:49:38	21690/21690	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css	(from http://radixtouch.in/templates/admin/smart/source/hover/editable_form.html)
11:49:39	149/149	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/inputs-ext/address/address.css	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/inputs-ext/address/address.css	(from http://radixtouch.in/templates/admin/smart/source/hover/editable_form.html)
11:49:41	31710/31710	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js	(from http://radixtouch.in/templates/admin/smart/source/hover/validation_form.html)
11:49:41	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:12:29%20GMT	http://radixtouch.in/templates/admin/smart/source/hover/payments.html	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/hover/payments.10b.delayed	(from http://radixtouch.in/templates/admin/smart/source/hover/layout_full_width.html)
11:49:42	147659/147659	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/select2/js/select2.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/select2/js/select2.js	(from http://radixtouch.in/templates/admin/smart/source/hover/advance_form.html)
11:49:42	55379/55379	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Jan%202018%2021:56:26%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/steps/jquery.steps.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/steps/jquery.steps.js	(from http://radixtouch.in/templates/admin/smart/source/hover/wizard.html)
11:49:49	36445/36445	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2016:21:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/echart/echart-data.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/echart/echart-data.js	(from http://radixtouch.in/templates/admin/smart/source/hover/charts_echarts.html)
11:49:51	2792/2792	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2010:09:18%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/morris/morris_chart_data.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/morris/morris_chart_data.js	(from http://radixtouch.in/templates/admin/smart/source/hover/charts_morris.html)
11:49:51	35658/35658	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/morris/morris.min.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/morris/morris.min.js	(from http://radixtouch.in/templates/admin/smart/source/hover/charts_morris.html)
11:49:53	10947/10947	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2010:29:24%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/chartjs/chartjs-data.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/chartjs/chartjs-data.js	(from http://radixtouch.in/templates/admin/smart/source/hover/charts_chartjs.html)
11:49:57	91488/91488	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Dec%202017%2023:37:14%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/morris/raphael-min.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/plugins/morris/raphael-min.js	(from http://radixtouch.in/templates/admin/smart/source/hover/charts_morris.html)
11:49:58	5976/5976	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2010:09:18%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/map/google-maps-data.js	D:/template/adminpanelschool/radixtouch.in/templates/admin/smart/source/assets/js/pages/map/google-maps-data.js	(from http://radixtouch.in/templates/admin/smart/source/hover/google_maps.html)
